timestamp,pair,mode,family,family_name,score,url,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_crsi_period,param_crsi_entry,param_crsi_entry_short,param_trend_ema_period,param_exit_sma_period,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,train_score,validation_score
2026-03-14T20:11:27,BTCUSDT,train,3,Connors RSI (2-Period),-139.8,https://www.quantconnect.com/project/28937164/f64026483e43504af6a285e5a4bac910,10,3.0,1.5,20,6,0.25,2,10,85,100,5,0.0,0.0,3046.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:08:10,BTCUSDT,train,3,Connors RSI (2-Period),-166.55,https://www.quantconnect.com/project/28937164/2bd0fd2af45f950939aa6e0002bde19c,20,2.0,2.0,30,10,0.5,2,10,90,150,5,0.0,0.0,3581.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:15:56,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,10,3.0,2.5,20,10,0.25,3,10,85,100,3,,,,,,,,,,,,,,
2026-03-14T20:15:58,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,14,2.0,2.5,72,10,0.15,2,10,90,150,8,,,,,,,,,,,,,,
2026-03-14T20:17:40,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,20,2.0,1.5,30,6,0.5,2,10,90,150,5,,,,,,,,,,,,,,
2026-03-14T20:17:42,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,20,2.0,2.5,30,10,0.15,3,5,90,150,5,,,,,,,,,,,,,,
2026-03-14T20:19:24,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,10,3.0,2.0,30,10,0.5,2,10,85,100,5,,,,,,,,,,,,,,
2026-03-14T20:19:25,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,10,3.0,1.5,20,4,0.25,2,20,80,100,5,,,,,,,,,,,,,,
2026-03-14T20:21:09,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,20,2.0,2.5,30,10,0.5,2,10,80,100,5,,,,,,,,,,,,,,
2026-03-14T20:21:10,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,10,3.0,1.5,48,1,0.25,2,10,85,100,8,,,,,,,,,,,,,,
2026-03-14T20:21:42,BTCUSDT,train,3,Connors RSI (2-Period),-169.15,https://www.quantconnect.com/project/28937164/9d381e566cc511931c464ca0c9bb19d9,14,1.5,1.5,48,10,0.25,3,20,80,150,8,0.0,0.0,3633.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:22:40,BTCUSDT,train,3,Connors RSI (2-Period),-55.25,https://www.quantconnect.com/project/28937164/0442b2a7394ac7998bdc4c46dd1b0e92,20,3.0,3.0,96,8,0.5,2,5,90,150,8,0.0,0.0,1355.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:12:02,BTCUSDT,train,3,Connors RSI (2-Period),0.0,https://www.quantconnect.com/project/28937164/7f4245641a009a036f53b61ec78d0e02,14,1.0,2.5,72,6,0.15,3,5,90,200,8,0.0,0.0,182.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:10:51,BTCUSDT,train,3,Connors RSI (2-Period),-8.3,https://www.quantconnect.com/project/28937164/d5d0f6634e427e32b7a15363a59a7e57,10,3.0,2.0,48,1,0.25,5,20,80,100,8,0.0,0.0,416.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:14:11,BTCUSDT,train,3,Connors RSI (2-Period),-13.600000000000001,https://www.quantconnect.com/project/28937164/501d5d5b16b5f4ed864937180a44fb0a,20,2.5,2.5,30,10,0.15,3,10,80,100,3,0.0,0.0,522.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:22:40,BTCUSDT,train,3,Connors RSI (2-Period),-55.25,https://www.quantconnect.com/project/28937164/0442b2a7394ac7998bdc4c46dd1b0e92,20,3.0,3.0,96,8,0.5,2,5,90,150,8,0.0,0.0,1355.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:11:27,BTCUSDT,train,3,Connors RSI (2-Period),-139.8,https://www.quantconnect.com/project/28937164/f64026483e43504af6a285e5a4bac910,10,3.0,1.5,20,6,0.25,2,10,85,100,5,0.0,0.0,3046.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:24:29,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,10,3.0,3.0,48,1,0.25,2,5,90,100,8,,,,,,,,,,,,,,
2026-03-14T20:24:28,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,10,3.0,3.0,96,6,0.25,2,5,85,150,5,,,,,,,,,,,,,,
2026-03-14T20:26:12,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,10,3.0,2.0,20,1,0.25,2,20,85,100,5,,,,,,,,,,,,,,
2026-03-14T20:26:13,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,14,2.5,2.5,30,6,0.15,3,5,80,100,3,,,,,,,,,,,,,,
2026-03-14T20:27:56,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,10,3.0,3.0,48,1,0.25,2,20,90,150,8,,,,,,,,,,,,,,
2026-03-14T20:27:58,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,20,3.0,2.5,48,1,0.15,5,20,80,100,8,,,,,,,,,,,,,,
2026-03-14T20:29:40,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,10,2.5,1.5,20,6,0.15,2,10,80,100,3,,,,,,,,,,,,,,
2026-03-14T20:30:02,BTCUSDT,train,3,Connors RSI (2-Period),-135.75,https://www.quantconnect.com/project/28937164/3e6b6fc51460cb3e8c1e0833b7b49683,20,3.0,1.5,48,1,0.15,3,20,80,100,3,0.0,0.0,2965.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:31:27,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,10,1.0,2.5,48,6,0.25,3,10,95,150,8,,,,,,,,,,,,,,
2026-03-14T20:31:46,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,10,2.5,1.5,48,8,0.25,2,5,95,200,8,,,,,,,,,,,,,,
2026-03-14T20:12:02,BTCUSDT,train,3,Connors RSI (2-Period),0.0,https://www.quantconnect.com/project/28937164/7f4245641a009a036f53b61ec78d0e02,14,1.0,2.5,72,6,0.15,3,5,90,200,8,0.0,0.0,182.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:10:51,BTCUSDT,train,3,Connors RSI (2-Period),-8.3,https://www.quantconnect.com/project/28937164/d5d0f6634e427e32b7a15363a59a7e57,10,3.0,2.0,48,1,0.25,5,20,80,100,8,0.0,0.0,416.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:14:11,BTCUSDT,train,3,Connors RSI (2-Period),-13.600000000000001,https://www.quantconnect.com/project/28937164/501d5d5b16b5f4ed864937180a44fb0a,20,2.5,2.5,30,10,0.15,3,10,80,100,3,0.0,0.0,522.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:22:40,BTCUSDT,train,3,Connors RSI (2-Period),-55.25,https://www.quantconnect.com/project/28937164/0442b2a7394ac7998bdc4c46dd1b0e92,20,3.0,3.0,96,8,0.5,2,5,90,150,8,0.0,0.0,1355.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:30:02,BTCUSDT,train,3,Connors RSI (2-Period),-135.75,https://www.quantconnect.com/project/28937164/3e6b6fc51460cb3e8c1e0833b7b49683,20,3.0,1.5,48,1,0.15,3,20,80,100,3,0.0,0.0,2965.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:33:32,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,14,1.0,2.5,72,10,0.15,3,5,90,100,8,,,,,,,,,,,,,,
2026-03-14T20:33:32,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,20,3.0,1.5,72,1,0.15,3,5,90,100,8,,,,,,,,,,,,,,
2026-03-14T20:34:01,BTCUSDT,train,3,Connors RSI (2-Period),-8.3,https://www.quantconnect.com/project/28937164/4e804ad49b6b0abd23fd5f22ec67c5bb,20,3.0,2.0,48,1,0.15,5,20,80,100,8,0.0,0.0,416.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:35:27,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,14,3.0,3.0,96,6,0.15,3,5,90,150,8,,,,,,,,,,,,,,
2026-03-14T20:34:26,BTCUSDT,train,3,Connors RSI (2-Period),-370.15000000000003,https://www.quantconnect.com/project/28937164/fc1c9e61d2771a35f119a2ff869e2583,20,3.0,1.5,96,8,0.5,2,20,80,100,8,0.0,0.0,7653.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:36:11,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,10,3.0,2.0,96,1,0.5,2,5,90,100,8,,,,,,,,,,,,,,
2026-03-14T20:37:11,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,14,1.0,2.5,30,6,0.15,3,5,90,200,3,,,,,,,,,,,,,,
2026-03-14T20:37:56,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,14,1.0,2.5,30,6,0.15,3,5,80,200,8,,,,,,,,,,,,,,
2026-03-14T20:38:56,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,20,3.0,2.5,20,6,0.5,3,15,95,100,3,,,,,,,,,,,,,,
2026-03-14T20:39:07,BTCUSDT,train,3,Connors RSI (2-Period),-166.55,https://www.quantconnect.com/project/28937164/a480fb0e7a73273533b64302cae78c79,14,3.0,1.5,72,1,0.25,2,10,85,150,8,0.0,0.0,3581.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:12:02,BTCUSDT,train,3,Connors RSI (2-Period),0.0,https://www.quantconnect.com/project/28937164/7f4245641a009a036f53b61ec78d0e02,14,1.0,2.5,72,6,0.15,3,5,90,200,8,0.0,0.0,182.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:10:51,BTCUSDT,train,3,Connors RSI (2-Period),-8.3,https://www.quantconnect.com/project/28937164/d5d0f6634e427e32b7a15363a59a7e57,10,3.0,2.0,48,1,0.25,5,20,80,100,8,0.0,0.0,416.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:34:01,BTCUSDT,train,3,Connors RSI (2-Period),-8.3,https://www.quantconnect.com/project/28937164/4e804ad49b6b0abd23fd5f22ec67c5bb,20,3.0,2.0,48,1,0.15,5,20,80,100,8,0.0,0.0,416.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:14:11,BTCUSDT,train,3,Connors RSI (2-Period),-13.600000000000001,https://www.quantconnect.com/project/28937164/501d5d5b16b5f4ed864937180a44fb0a,20,2.5,2.5,30,10,0.15,3,10,80,100,3,0.0,0.0,522.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:22:40,BTCUSDT,train,3,Connors RSI (2-Period),-55.25,https://www.quantconnect.com/project/28937164/0442b2a7394ac7998bdc4c46dd1b0e92,20,3.0,3.0,96,8,0.5,2,5,90,150,8,0.0,0.0,1355.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:40:52,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,20,2.5,2.0,30,1,0.15,5,10,80,100,3,,,,,,,,,,,,,,
2026-03-14T20:39:33,BTCUSDT,train,3,Connors RSI (2-Period),0.0,https://www.quantconnect.com/project/28937164/a9dc36e65d1e06b6d5138a2a29546023,10,1.0,2.0,72,1,0.15,3,5,90,100,8,0.0,0.0,80.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:40:40,BTCUSDT,train,3,Connors RSI (2-Period),0.0,https://www.quantconnect.com/project/28937164/fa11d6dffa01edbd4d3ddf4ee16d94bb,20,3.0,2.0,48,10,0.15,5,10,80,100,3,0.0,0.0,17.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:41:04,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,https://www.quantconnect.com/project/28937164/4551f116c66fa9a03a66be4af0113899,14,3.0,2.0,72,6,0.25,5,5,90,100,5,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:41:53,BTCUSDT,train,3,Connors RSI (2-Period),-136.55,https://www.quantconnect.com/project/28937164/bbe0bedf029cc3a59747c86efa891abe,20,3.0,2.0,48,1,0.15,3,20,90,100,8,0.0,0.0,2981.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:41:29,BTCUSDT,train,3,Connors RSI (2-Period),-41.25,https://www.quantconnect.com/project/28937164/152e9a6a7faf653f0abb18ecf0fbc59f,20,3.0,2.0,96,8,0.25,2,5,80,100,8,0.0,0.0,1075.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:43:31,BTCUSDT,train,3,Connors RSI (2-Period),-41.25,https://www.quantconnect.com/project/28937164/f513e70335c03a9cf639055799337688,20,3.0,2.0,48,8,0.5,2,5,80,100,8,0.0,0.0,1075.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:43:38,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,10,1.0,2.5,72,8,0.25,5,5,90,200,8,,,,,,,,,,,,,,
2026-03-14T20:43:58,BTCUSDT,train,3,Connors RSI (2-Period),-139.8,https://www.quantconnect.com/project/28937164/be0c086bdb1914936de0a0c81c063132,14,1.0,2.0,20,1,0.15,2,10,85,100,5,0.0,0.0,3046.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:44:38,BTCUSDT,train,3,Connors RSI (2-Period),-60.2,https://www.quantconnect.com/project/28937164/7a111f573ab887f1547863528e8fe253,20,2.5,1.0,48,6,0.25,3,15,85,100,5,0.0,0.0,1454.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:12:02,BTCUSDT,train,3,Connors RSI (2-Period),0.0,https://www.quantconnect.com/project/28937164/7f4245641a009a036f53b61ec78d0e02,14,1.0,2.5,72,6,0.15,3,5,90,200,8,0.0,0.0,182.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
