timestamp,pair,mode,family,family_name,score,url,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_ema_fast_period,param_ema_slow_period,param_adx_period,param_adx_min,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,train_score,validation_score
2026-03-14T21:05:03,BTCUSDT,train,4,EMA Trend + ADX,-1000000000,,20,3.0,2.5,96,10,0.15,10,50,20,20,,,,,,,,,,,,,,
2026-03-14T21:04:03,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/95a7347fd68c972cc96c727d05ffb934,20,1.0,1.5,20,6,0.15,25,60,20,25,0.0,0.0,30.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:05:14,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/d1170ad01403c88778edacea550d2eba,14,1.0,2.5,48,4,0.5,20,60,14,30,0.0,0.0,56.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:06:04,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/92daa267d92d3f65cfafc2fbb9818acf,20,2.5,1.5,72,10,0.15,25,60,20,30,0.0,0.0,11.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:05:40,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/44aa96eb46314f5b2d678829a2396239,10,1.5,2.0,48,4,0.5,10,50,10,30,0.0,0.0,164.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:07:26,BTCUSDT,train,4,EMA Trend + ADX,-1000000000,,14,1.0,1.5,72,2,0.15,15,50,14,30,,,,,,,,,,,,,,
2026-03-14T21:08:09,BTCUSDT,train,4,EMA Trend + ADX,-11.0,https://www.quantconnect.com/project/28937164/18f20ad717a0ea18b19f1fde0147e1e4,14,2.5,2.5,72,4,0.25,25,60,10,20,0.0,0.0,470.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:07:48,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/b6f01e3d469a9408cec0f5fc11082491,14,2.0,1.0,72,1,0.15,20,40,14,35,0.0,0.0,23.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:09:51,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/3054e5e696d7c37762bdd452e19c9d8c,20,3.0,2.0,30,4,0.35,20,50,14,30,0.0,0.0,46.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:10:24,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/0a0f8a38bdc190527f98f3e74bad7100,10,3.0,2.0,30,10,0.5,25,60,20,20,0.0,0.0,88.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:11:36,BTCUSDT,train,4,EMA Trend + ADX,-1000000000,,10,2.0,3.0,96,6,0.35,25,80,10,35,,,,,,,,,,,,,,
2026-03-14T21:11:02,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/34543c4f731a3cfe9ff483da7723e27f,10,1.0,1.5,72,6,0.25,20,40,14,35,0.0,0.0,23.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:13:06,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/5f05e0e814b5d1d542ed20f870a6c24d,10,1.0,1.0,72,10,0.15,10,60,14,35,0.0,0.0,19.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:12:52,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/bcaf6c2c3bf9136490d56f3828a10951,10,2.5,1.0,30,8,0.15,20,40,14,30,0.0,0.0,44.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:14:11,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/68417f3d5148722b9a4e8faee6cb1de2,20,1.0,1.5,30,10,0.35,20,40,20,20,0.0,0.0,86.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:04:03,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/95a7347fd68c972cc96c727d05ffb934,20,1.0,1.5,20,6,0.15,25,60,20,25,0.0,0.0,30.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:05:14,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/d1170ad01403c88778edacea550d2eba,14,1.0,2.5,48,4,0.5,20,60,14,30,0.0,0.0,56.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:06:04,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/92daa267d92d3f65cfafc2fbb9818acf,20,2.5,1.5,72,10,0.15,25,60,20,30,0.0,0.0,11.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:05:40,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/44aa96eb46314f5b2d678829a2396239,10,1.5,2.0,48,4,0.5,10,50,10,30,0.0,0.0,164.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:07:48,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/b6f01e3d469a9408cec0f5fc11082491,14,2.0,1.0,72,1,0.15,20,40,14,35,0.0,0.0,23.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:15:12,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/13c7031f201d33d66bdfb42894a4fac7,20,1.0,1.5,20,4,0.5,10,60,20,30,0.0,0.0,11.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:14:37,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/bc269fdcc1c6bcf856f0f8ba34333e52,10,1.0,3.0,48,4,0.5,20,50,10,30,0.0,0.0,189.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:16:46,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/261f647144913eb1a7cca5245536b104,20,1.0,1.5,20,4,0.5,25,60,14,25,0.0,0.0,133.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:15:41,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/f161d0d28af8982cf70e3398e6387402,14,2.5,2.5,48,10,0.5,25,60,20,30,0.0,0.0,11.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:16:26,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/79d3eb26aa612eef326d0c5913907c2c,20,1.0,1.5,72,10,0.15,25,60,20,30,0.0,0.0,11.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:18:10,BTCUSDT,train,4,EMA Trend + ADX,-1000000000,,10,1.0,1.5,20,4,0.15,25,60,20,25,,,,,,,,,,,,,,
2026-03-14T21:17:16,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/6e325bde99bb15b66fd90a00dde0991a,14,1.0,1.5,20,6,0.15,25,60,10,35,0.0,0.0,110.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:19:00,BTCUSDT,train,4,EMA Trend + ADX,-1000000000,,14,2.0,2.5,72,1,0.15,20,60,14,30,,,,,,,,,,,,,,
2026-03-14T21:19:07,BTCUSDT,train,4,EMA Trend + ADX,-4.75,https://www.quantconnect.com/project/28937164/4d70438f0d80de0115b089f3cc3cbaaf,20,1.0,2.0,48,2,0.15,15,80,10,25,0.0,0.0,345.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:21:16,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/8a5a43110ad82bf63cf451087fb37298,14,3.0,3.0,48,2,0.25,20,80,20,35,0.0,0.0,5.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T21:04:03,BTCUSDT,train,4,EMA Trend + ADX,0.0,https://www.quantconnect.com/project/28937164/95a7347fd68c972cc96c727d05ffb934,20,1.0,1.5,20,6,0.15,25,60,20,25,0.0,0.0,30.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
