timestamp,pair,mode,family,family_name,score,url,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_crsi_period,param_crsi_entry,param_crsi_entry_short,param_trend_ema_period,param_exit_sma_period,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,train_score,validation_score
2026-03-14T20:12:12,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,10,1.5,1.0,72,2,0.35,2,20,90,100,5,,,,,,,,,,,,,,
2026-03-14T20:13:56,BTCUSDT,train,3,Connors RSI (2-Period),-1000000000,,10,3.0,2.5,48,10,0.5,3,10,90,200,3,,,,,,,,,,,,,,
2026-03-14T20:14:30,BTCUSDT,train,3,Connors RSI (2-Period),-41.25,https://www.quantconnect.com/project/28937164/ba8360e79a8701e6e0afeaf3e450c318,10,3.0,1.0,72,1,0.15,2,5,85,100,5,0.0,0.0,1075.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:14:58,BTCUSDT,train,3,Connors RSI (2-Period),-95.95,https://www.quantconnect.com/project/28937164/e73384c01c7288a8db771c11e8c3a35d,10,3.0,2.5,96,10,0.15,3,15,95,200,5,0.0,0.0,2169.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:15:35,BTCUSDT,train,3,Connors RSI (2-Period),-139.8,https://www.quantconnect.com/project/28937164/f32160a02db96ac98b80edfc3fa9236e,14,1.0,3.0,96,8,0.5,2,10,90,100,8,0.0,0.0,3046.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:16:12,BTCUSDT,train,3,Connors RSI (2-Period),-139.70000000000002,https://www.quantconnect.com/project/28937164/52047b9e08019a6a1aeda3a3725cf490,10,2.5,2.0,72,4,0.35,2,10,85,100,3,0.0,0.0,3044.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:16:58,BTCUSDT,train,3,Connors RSI (2-Period),0.0,https://www.quantconnect.com/project/28937164/69f08f31515b5b067d5ef103027345a6,20,1.0,2.0,20,2,0.25,5,10,90,100,8,0.0,0.0,17.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:19:04,BTCUSDT,train,3,Connors RSI (2-Period),0.0,https://www.quantconnect.com/project/28937164/596eb567a83ebc1144f29ce39a741302,20,1.0,1.0,48,6,0.25,5,5,85,200,3,0.0,0.0,5.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:19:36,BTCUSDT,train,3,Connors RSI (2-Period),-95.95,https://www.quantconnect.com/project/28937164/61e1df954239f11b6c5de6b9050c47ca,14,2.0,2.0,30,8,0.15,3,15,95,200,8,0.0,0.0,2169.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T20:20:11,BTCUSDT,train,3,Connors RSI (2-Period),-436.35,https://www.quantconnect.com/project/28937164/1d613c2ec305daa2cd953a25f2fe5ea1,20,2.0,1.0,48,6,0.25,2,20,80,200,5,0.0,0.0,8977.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
