timestamp,pair,mode,family,family_name,score,url,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_bb_period,param_bb_std_dev,param_bb_rsi_long,param_bb_rsi_short,param_rsi_period,param_bar_minutes,param_htf_minutes,param_htf_ema_period,param_vol_filter_enabled,param_use_force_flat,train_score,validation_score
2026-03-18T11:12:23,EURUSD,train,2,Bollinger Band Bounce,-67.905,https://www.quantconnect.com/project/28930245/447bf9bd037454a03a140dbdd4ef8f57,-19.879,21.0,2957.0,-1.642,47.0,10000.0,8012.08,932.0,418.0,353.0,91.0,70.0,20,3.0,1.0,20,3,0.25,15,1.5,40,60,14,15,240,20,0,1,,
2026-03-18T11:10:25,EURUSD,train,2,Bollinger Band Bounce,-1.4540000000000002,https://www.quantconnect.com/project/28930245/934e6e737a6c8c7f999e6138d04570db,0.535,3.2,565.0,-0.663,44.0,10000.0,10053.47,182.0,97.0,66.0,,19.0,20,2.5,1.5,48,12,0.15,25,1.5,25,65,14,30,240,30,0,0,,
2026-03-18T11:09:26,EURUSD,train,2,Bollinger Band Bounce,-5.378,https://www.quantconnect.com/project/28930245/51c051550570d6ba021b6192304ee5e9,-2.846,6.4,815.0,-0.544,34.0,10000.0,9715.44,268.0,174.0,83.0,,11.0,20,2.0,2.0,48,5,0.25,20,2.5,35,65,10,15,240,20,1,0,,
2026-03-18T11:06:10,EURUSD,train,2,Bollinger Band Bounce,-8.819,https://www.quantconnect.com/project/28930245/97628494f631f51972df6d4ffdd4d0cd,-3.544,4.6,858.0,-1.175,43.0,10000.0,9645.58,285.0,163.0,119.0,,3.0,14,1.5,1.25,30,3,0.15,30,2.5,35,75,14,15,240,50,0,0,,
2026-03-18T11:11:19,EURUSD,train,2,Bollinger Band Bounce,-10.73,https://www.quantconnect.com/project/28930245/063c95fda0c6c85e869412f7b923b643,-4.298,5.9,869.0,-1.544,48.0,10000.0,9570.22,286.0,147.0,128.0,11.0,,20,1.5,1.0,48,8,0.15,20,1.5,40,65,7,30,60,20,1,1,,
2026-03-18T11:09:55,EURUSD,train,2,Bollinger Band Bounce,-13.667000000000002,https://www.quantconnect.com/project/28930245/131bdd24ab7ed58993b0cc0af749ba91,-11.06,13.7,594.0,-0.869,38.0,10000.0,8893.98,191.0,114.0,57.0,21.0,,14,2.0,1.5,96,12,0.5,30,2.5,30,75,14,15,240,50,0,1,,
2026-03-18T11:12:54,EURUSD,train,2,Bollinger Band Bounce,-17.239,https://www.quantconnect.com/project/28930245/934456cd534624fcbbbab4794a3e7c70,-6.464,8.1,1107.0,-1.675,46.0,10000.0,9353.62,365.0,191.0,162.0,12.0,,20,1.5,1.0,48,3,0.15,20,1.5,40,75,14,30,240,50,0,1,,
2026-03-18T11:13:25,EURUSD,train,2,Bollinger Band Bounce,-17.59,https://www.quantconnect.com/project/28930245/3e01f5d360acfb3698edfd261017c0e3,-5.645,6.4,1279.0,-1.265,40.0,10000.0,9435.53,413.0,238.0,135.0,40.0,,14,2.0,1.5,48,12,0.15,20,2.5,30,65,10,15,240,50,0,1,,
2026-03-18T11:14:06,EURUSD,train,2,Bollinger Band Bounce,-0.6440000000000001,https://www.quantconnect.com/project/28930245/16f012f450e123368d8d67a9f79709c5,1.555,1.9,305.0,-0.633,47.0,10000.0,10155.52,98.0,49.0,38.0,,11.0,20,2.5,1.5,48,12,0.15,25,1.5,25,65,14,30,240,30,1,0,,
2026-03-18T11:14:41,EURUSD,train,2,Bollinger Band Bounce,-58.754000000000005,https://www.quantconnect.com/project/28930245/4076e16c8bd4763517c8d2048441ca90,-28.718,29.1,1014.0,-1.612,35.0,10000.0,7128.23,331.0,210.0,100.0,21.0,,20,2.0,1.5,48,5,0.5,20,2.5,30,65,14,15,240,50,0,1,,
