timestamp,pair,mode,family,family_name,score,url,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_rsi_period,param_rsi_oversold,param_rsi_overbought,param_trend_ema_period,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,train_score,validation_score
2026-03-15T12:19:19,SPY,train,1,RSI Mean Reversion,-3.8379999999999996,https://www.quantconnect.com/project/28936477/58d1eec14eb20159b43e5ed7130f03ad,10,2.5,2.5,48,4,0.15,14,35,60,200,0.065,1.1,158.0,-1.301,41.0,10000.0,10006.5,49.0,27.0,11.0,,11.0,,
2026-03-15T12:19:36,SPY,train,1,RSI Mean Reversion,-1000000000,https://www.quantconnect.com/project/28936477/a4bed65c83727b8c4714864a6d1e33ca,10,2.0,2.0,96,1,0.35,20,25,70,150,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-15T12:20:26,SPY,train,1,RSI Mean Reversion,-4.938000000000001,https://www.quantconnect.com/project/28936477/79620feb913a0ec35ba89d197a37bb65,14,2.0,2.5,96,1,0.15,10,35,75,150,-0.966,1.7,159.0,-1.324,34.0,10000.0,9903.42,53.0,35.0,18.0,,,,
2026-03-15T12:19:54,SPY,train,1,RSI Mean Reversion,-6.0889999999999995,https://www.quantconnect.com/project/28936477/ad66435b0966472482dedcf95e5c4d9e,14,2.5,2.5,20,10,0.25,20,40,70,100,-0.422,1.0,31.0,-1.889,44.0,10000.0,9957.85,9.0,5.0,,,4.0,,
2026-03-15T12:17:41,SPY,train,1,RSI Mean Reversion,-1.8870000000000002,https://www.quantconnect.com/project/28936477/f37b7fd9761dfab9e72422321fe639d9,10,1.0,2.0,96,2,0.25,14,40,60,150,-0.216,3.4,279.0,-0.557,34.0,10000.0,9978.36,93.0,61.0,32.0,,,,
2026-03-15T12:09:20,SPY,train,1,RSI Mean Reversion,-3.0559999999999996,https://www.quantconnect.com/project/28936477/17e8e2a62b6f6d1316e34f2823aacb97,10,2.0,2.5,48,4,0.15,14,35,60,100,0.775,0.8,80.0,-1.277,46.0,10000.0,10077.5,26.0,14.0,10.0,,2.0,,
2026-03-15T12:19:19,SPY,train,1,RSI Mean Reversion,-3.8379999999999996,https://www.quantconnect.com/project/28936477/58d1eec14eb20159b43e5ed7130f03ad,10,2.5,2.5,48,4,0.15,14,35,60,200,0.065,1.1,158.0,-1.301,41.0,10000.0,10006.5,49.0,27.0,11.0,,11.0,,
2026-03-15T12:16:35,SPY,train,1,RSI Mean Reversion,-4.588000000000001,https://www.quantconnect.com/project/28936477/26fded59970c579d7b906564360beb34,10,2.0,2.5,48,2,0.15,14,35,70,150,-0.121,1.0,91.0,-1.489,40.0,10000.0,9987.89,30.0,18.0,11.0,,1.0,,
2026-03-15T12:20:26,SPY,train,1,RSI Mean Reversion,-4.938000000000001,https://www.quantconnect.com/project/28936477/79620feb913a0ec35ba89d197a37bb65,14,2.0,2.5,96,1,0.15,10,35,75,150,-0.966,1.7,159.0,-1.324,34.0,10000.0,9903.42,53.0,35.0,18.0,,,,
2026-03-15T12:20:51,SPY,train,1,RSI Mean Reversion,-3.58,https://www.quantconnect.com/project/28936477/3c011a237582258c398ff36e4d53ee41,14,2.0,2.5,96,2,0.25,14,40,75,150,-1.168,2.3,147.0,-0.804,33.0,10000.0,9883.19,49.0,33.0,16.0,,,,
2026-03-15T12:20:48,SPY,train,1,RSI Mean Reversion,-9.047,https://www.quantconnect.com/project/28936477/c87c37b5540f7175d44db4ffc75cda6c,10,1.0,2.5,96,1,0.25,10,35,60,150,-6.062,8.3,345.0,-0.995,27.0,10000.0,9393.82,115.0,83.0,31.0,,,,
2026-03-15T12:21:44,SPY,train,1,RSI Mean Reversion,0.47299999999999986,https://www.quantconnect.com/project/28936477/bbf411af5792d2fb7ef6b94031f9e2c6,10,1.0,2.5,96,2,0.15,10,40,75,150,1.649,2.6,330.0,-0.392,36.0,10000.0,10164.86,110.0,70.0,40.0,,,,
2026-03-15T12:21:49,SPY,train,1,RSI Mean Reversion,-6.352,https://www.quantconnect.com/project/28936477/78a883e098378208358f5dd7e059257f,10,1.0,2.5,96,4,0.15,14,40,60,200,-2.647,3.5,279.0,-1.235,29.0,10000.0,9735.3,93.0,66.0,27.0,,,,
2026-03-15T12:22:10,SPY,train,1,RSI Mean Reversion,-3.971,https://www.quantconnect.com/project/28936477/1339ac3ebe3761d8eb2544a2593b62eb,10,1.0,2.0,48,2,0.15,14,40,60,150,-0.74,2.3,279.0,-1.077,34.0,10000.0,9925.97,93.0,61.0,32.0,,,,
2026-03-15T12:23:34,SPY,train,1,RSI Mean Reversion,-1000000000,,10,2.0,2.5,96,1,0.15,10,35,60,150,,,,,,,,,,,,,,
2026-03-15T12:24:15,SPY,train,1,RSI Mean Reversion,-6.577999999999999,https://www.quantconnect.com/project/28936477/8fbaf90d7bdec618b8e275e9a2ea84c6,10,2.0,2.0,48,2,0.15,14,40,70,150,-1.706,2.2,150.0,-1.624,36.0,10000.0,9829.44,50.0,32.0,18.0,,,,
2026-03-15T12:24:08,SPY,train,1,RSI Mean Reversion,-4.619000000000001,https://www.quantconnect.com/project/28936477/82e7a35b7e285602b39e778fbf2b71a4,14,2.0,2.5,48,1,0.15,10,35,75,150,-0.791,1.6,165.0,-1.276,37.0,10000.0,9920.92,54.0,34.0,17.0,,3.0,,
2026-03-15T12:25:53,SPY,train,1,RSI Mean Reversion,-1000000000,,20,1.0,1.0,72,1,0.35,10,25,70,200,,,,,,,,,,,,,,
2026-03-15T12:25:09,SPY,train,1,RSI Mean Reversion,-3.824,https://www.quantconnect.com/project/28936477/15c7d4bc61ab866ac49e9743e538a228,10,3.0,1.0,72,10,0.25,10,40,70,150,-0.704,1.6,198.0,-1.04,53.0,10000.0,9929.55,66.0,31.0,35.0,,,,
2026-03-15T12:21:44,SPY,train,1,RSI Mean Reversion,0.47299999999999986,https://www.quantconnect.com/project/28936477/bbf411af5792d2fb7ef6b94031f9e2c6,10,1.0,2.5,96,2,0.15,10,40,75,150,1.649,2.6,330.0,-0.392,36.0,10000.0,10164.86,110.0,70.0,40.0,,,,
2026-03-15T12:17:41,SPY,train,1,RSI Mean Reversion,-1.8870000000000002,https://www.quantconnect.com/project/28936477/f37b7fd9761dfab9e72422321fe639d9,10,1.0,2.0,96,2,0.25,14,40,60,150,-0.216,3.4,279.0,-0.557,34.0,10000.0,9978.36,93.0,61.0,32.0,,,,
2026-03-15T12:09:20,SPY,train,1,RSI Mean Reversion,-3.0559999999999996,https://www.quantconnect.com/project/28936477/17e8e2a62b6f6d1316e34f2823aacb97,10,2.0,2.5,48,4,0.15,14,35,60,100,0.775,0.8,80.0,-1.277,46.0,10000.0,10077.5,26.0,14.0,10.0,,2.0,,
2026-03-15T12:20:51,SPY,train,1,RSI Mean Reversion,-3.58,https://www.quantconnect.com/project/28936477/3c011a237582258c398ff36e4d53ee41,14,2.0,2.5,96,2,0.25,14,40,75,150,-1.168,2.3,147.0,-0.804,33.0,10000.0,9883.19,49.0,33.0,16.0,,,,
2026-03-15T12:25:09,SPY,train,1,RSI Mean Reversion,-3.824,https://www.quantconnect.com/project/28936477/15c7d4bc61ab866ac49e9743e538a228,10,3.0,1.0,72,10,0.25,10,40,70,150,-0.704,1.6,198.0,-1.04,53.0,10000.0,9929.55,66.0,31.0,35.0,,,,
2026-03-15T12:27:57,SPY,train,1,RSI Mean Reversion,-0.5249999999999999,https://www.quantconnect.com/project/28936477/8b2a4589db45b5df5013d5a8e28b4f1a,10,1.0,2.5,48,2,0.15,14,35,75,100,2.133,0.5,54.0,-0.886,56.0,10000.0,10213.28,18.0,8.0,10.0,,,,
2026-03-15T12:26:17,SPY,train,1,RSI Mean Reversion,-6.183,https://www.quantconnect.com/project/28936477/4925f6f3ca3615ee33f91e63d90f6c95,14,3.0,1.0,72,2,0.25,14,40,75,150,-1.89,2.5,141.0,-1.431,49.0,10000.0,9811.04,47.0,24.0,23.0,,,,
2026-03-15T12:26:39,SPY,train,1,RSI Mean Reversion,-5.904,https://www.quantconnect.com/project/28936477/d5db03aabf619b866ae468a2899e8314,10,3.0,1.0,96,2,0.25,14,40,60,150,-1.917,2.5,184.0,-1.329,51.0,10000.0,9808.29,61.0,30.0,30.0,,1.0,,
2026-03-15T12:27:50,SPY,train,1,RSI Mean Reversion,-0.13100000000000023,https://www.quantconnect.com/project/28936477/b12a73dfa0203b177cf335888a455aab,10,2.0,2.5,48,2,0.25,14,35,60,150,1.267,1.6,144.0,-0.466,38.0,10000.0,10126.67,47.0,28.0,16.0,,3.0,,
2026-03-15T12:28:14,SPY,train,1,RSI Mean Reversion,0.474,https://www.quantconnect.com/project/28936477/120fe096ee6e14d1136bb7e5a1f948c3,10,2.0,2.5,48,4,0.25,14,40,60,100,1.74,1.3,120.0,-0.422,41.0,10000.0,10174.0,39.0,23.0,13.0,,3.0,,
2026-03-15T12:28:52,SPY,train,1,RSI Mean Reversion,-3.397,https://www.quantconnect.com/project/28936477/d7e2a6575e6f20a674b285cc3df38d68,10,3.0,3.0,96,10,0.25,10,40,70,150,-0.88,2.7,145.0,-0.839,36.0,10000.0,9912.01,45.0,28.0,7.0,,10.0,,
2026-03-15T12:28:36,SPY,train,1,RSI Mean Reversion,-5.9350000000000005,https://www.quantconnect.com/project/28936477/647d71f185c81eef0e8ae41e00e4fb72,10,3.0,1.0,72,2,0.15,10,40,70,150,-0.727,1.1,234.0,-1.736,54.0,10000.0,9927.33,78.0,36.0,42.0,,,,
2026-03-15T12:30:21,SPY,train,1,RSI Mean Reversion,-1000000000,,10,3.0,2.5,96,2,0.25,20,40,75,150,,,,,,,,,,,,,,
2026-03-15T12:29:24,SPY,train,1,RSI Mean Reversion,0.4099999999999999,https://www.quantconnect.com/project/28936477/8ff2b9da5302926ddfd32e77eb0e79d5,10,2.5,2.0,72,1,0.25,10,40,65,100,1.598,2.3,196.0,-0.396,42.0,10000.0,10159.85,65.0,38.0,26.0,,1.0,,
2026-03-15T12:31:10,SPY,train,1,RSI Mean Reversion,-1000000000,,10,2.5,3.0,20,8,0.5,14,30,65,100,,,,,,,,,,,,,,
2026-03-15T12:28:14,SPY,train,1,RSI Mean Reversion,0.474,https://www.quantconnect.com/project/28936477/120fe096ee6e14d1136bb7e5a1f948c3,10,2.0,2.5,48,4,0.25,14,40,60,100,1.74,1.3,120.0,-0.422,41.0,10000.0,10174.0,39.0,23.0,13.0,,3.0,,
2026-03-15T12:21:44,SPY,train,1,RSI Mean Reversion,0.47299999999999986,https://www.quantconnect.com/project/28936477/bbf411af5792d2fb7ef6b94031f9e2c6,10,1.0,2.5,96,2,0.15,10,40,75,150,1.649,2.6,330.0,-0.392,36.0,10000.0,10164.86,110.0,70.0,40.0,,,,
