timestamp,pair,mode,family,family_name,score,url,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_stoch_k,param_stoch_d,param_stoch_oversold,param_stoch_overbought,param_trend_ema_period,param_bar_minutes,param_htf_minutes,param_htf_ema_period,param_vol_filter_enabled,param_use_force_flat,train_score,validation_score
2026-03-18T09:32:19,USDJPY,train,4,Stochastic Mean Reversion,-7.327,https://www.quantconnect.com/project/28930245/765f3d4f85161fa5448f8e0ce7318e44,-3.113,4.9,832.0,-1.238,40.0,10000.0,9688.66,260.0,137.0,71.0,52.0,,20,2.0,1.5,30,8,0.15,14,5,20,70,50,30,60,30,0,1,,
2026-03-18T09:34:19,USDJPY,train,4,Stochastic Mean Reversion,-10.551000000000002,https://www.quantconnect.com/project/28930245/bdd9fa2ae7758a1f42fca9f1cd00c9a7,-3.111,11.1,1209.0,-0.38,39.0,10000.0,9688.92,376.0,210.0,84.0,,81.0,14,3.0,2.0,60,8,0.35,5,5,25,70,20,30,60,20,0,0,,
2026-03-18T09:36:05,USDJPY,train,4,Stochastic Mean Reversion,-11.228000000000002,https://www.quantconnect.com/project/28930245/1ee89cbc15751ba90190db15d0777ec5,-7.772,14.2,833.0,-0.752,39.0,10000.0,9222.75,274.0,163.0,100.0,,11.0,20,1.5,1.5,30,12,0.35,10,5,25,75,20,5,60,20,0,0,,
2026-03-18T09:33:18,USDJPY,train,4,Stochastic Mean Reversion,-13.279,https://www.quantconnect.com/project/28930245/5cde16bb75edce0e20762315a1199bc8,2.083,7.8,1847.0,-0.204,46.0,10000.0,10208.32,545.0,246.0,87.0,,212.0,14,2.5,2.0,20,12,0.15,5,3,30,75,20,15,240,30,0,0,,
2026-03-18T09:39:21,USDJPY,train,4,Stochastic Mean Reversion,-13.646,https://www.quantconnect.com/project/28930245/cb13291ba9d7092c112ece39f9cf03bf,-3.464,6.7,1347.0,-1.194,44.0,10000.0,9653.6,382.0,148.0,32.0,,201.0,14,3.0,2.0,20,12,0.15,5,5,25,70,20,30,240,20,0,0,,
2026-03-18T09:39:49,USDJPY,train,4,Stochastic Mean Reversion,-18.889000000000003,https://www.quantconnect.com/project/28930245/0b8d13e5161b43b51e0fdff47cd4aa0c,-4.624,6.8,1448.0,-1.305,48.0,10000.0,9537.56,457.0,202.0,178.0,,77.0,20,2.5,1.0,20,5,0.15,8,3,30,75,20,15,60,50,0,0,,
2026-03-18T09:40:11,USDJPY,train,4,Stochastic Mean Reversion,-30.550000000000004,https://www.quantconnect.com/project/28930245/c10058d781cb2ccee13160b09089d165,-5.489,15.4,2506.0,-0.437,45.0,10000.0,9451.11,713.0,274.0,72.0,,367.0,14,3.0,2.0,20,8,0.35,5,5,30,75,20,15,60,30,0,0,,
2026-03-18T09:40:50,USDJPY,train,4,Stochastic Mean Reversion,-6.608999999999999,https://www.quantconnect.com/project/28930245/8355fef5a5a966953476467a699fa4f7,2.631,2.3,135.0,-0.23,49.0,10000.0,10263.14,43.0,19.0,18.0,,6.0,14,3.0,1.5,60,8,0.35,14,5,25,70,20,30,60,30,0,0,,
2026-03-18T09:41:30,USDJPY,train,4,Stochastic Mean Reversion,-1.005,https://www.quantconnect.com/project/28930245/3b004d33ea29bb06ee1b1e0c439b2917,4.117,11.5,1070.0,0.026,40.0,10000.0,10411.73,354.0,213.0,133.0,,8.0,20,1.5,1.5,30,5,0.15,8,3,35,65,20,30,60,50,0,0,,
2026-03-18T09:41:56,USDJPY,train,4,Stochastic Mean Reversion,-11.906,https://www.quantconnect.com/project/28930245/53b70c3e7063acb7410b3e1add81b27c,-2.893,5.2,1115.0,-1.121,48.0,10000.0,9710.71,363.0,178.0,160.0,26.0,,20,1.5,1.0,48,5,0.15,8,3,35,70,20,30,60,30,0,1,,
2026-03-18T09:42:28,USDJPY,train,4,Stochastic Mean Reversion,-23.944,https://www.quantconnect.com/project/28930245/8cf18fb8019a97ab59b7b3c1a5682716,-10.188,10.9,1219.0,-2.002,41.0,10000.0,8981.24,405.0,237.0,164.0,,4.0,20,2.0,1.0,48,8,0.15,14,5,35,65,50,30,60,50,0,0,,
2026-03-18T09:43:13,USDJPY,train,4,Stochastic Mean Reversion,-91.32,https://www.quantconnect.com/project/28930245/27b4894113137a3bb32b2673dd3281ca,-31.872,33.3,2506.0,-1.316,32.0,10000.0,6812.79,811.0,521.0,217.0,,73.0,14,1.5,2.0,30,8,0.35,5,5,25,70,20,5,60,20,0,0,,
2026-03-18T09:43:41,USDJPY,train,4,Stochastic Mean Reversion,-57.151,https://www.quantconnect.com/project/28930245/a3540119363c780d3f2456d6092a219a,-21.048,21.6,2063.0,-1.501,37.0,10000.0,7895.2,684.0,426.0,247.0,,11.0,10,1.5,1.5,48,12,0.25,5,3,20,75,20,5,60,30,0,0,,
2026-03-18T09:44:15,USDJPY,train,4,Stochastic Mean Reversion,-75.17999999999999,https://www.quantconnect.com/project/28930245/0c691a5c16f623cd0821f04bca73f49e,0.782,46.9,2527.0,0.046,35.0,10000.0,10078.23,815.0,505.0,228.0,,82.0,10,2.0,2.0,48,5,0.5,5,3,20,80,100,15,60,50,0,0,,
2026-03-18T09:41:30,USDJPY,train,4,Stochastic Mean Reversion,-1.005,https://www.quantconnect.com/project/28930245/3b004d33ea29bb06ee1b1e0c439b2917,4.117,11.5,1070.0,0.026,40.0,10000.0,10411.73,354.0,213.0,133.0,,8.0,20,1.5,1.5,30,5,0.15,8,3,35,65,20,30,60,50,0,0,,
