timestamp,pair,mode,family,family_name,score,url,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_rsi_period,param_rsi_oversold,param_rsi_overbought,param_trend_ema_period,param_bar_minutes,param_htf_minutes,param_htf_ema_period,param_vol_filter_enabled,param_use_force_flat,train_score,validation_score
2026-03-18T13:01:13,USDJPY,train,1,RSI Mean Reversion,-0.406,https://www.quantconnect.com/project/28930245/f071e1b73e5cc3e19e7c3b80b3421875,0.551,7.6,371.0,-0.319,43.0,10000.0,10055.15,122.0,68.0,49.0,,5.0,10,2.0,1.5,48,5,0.35,10,25,70,200,5,240,50,0,0,,
2026-03-18T13:02:17,USDJPY,train,1,RSI Mean Reversion,-6.511999999999999,https://www.quantconnect.com/project/28930245/9c10bb3965a9b4479bc105d766b0ee51,-4.318,8.2,871.0,-0.698,46.0,10000.0,9568.23,252.0,85.0,52.0,115.0,,10,3.0,1.25,60,12,0.35,5,30,80,200,30,60,20,0,1,,
2026-03-18T13:06:14,USDJPY,train,1,RSI Mean Reversion,-6.518999999999999,https://www.quantconnect.com/project/28930245/e3a3af67a456e1489d6f7318113c64fc,0.699,4.0,180.0,-0.356,47.0,10000.0,10069.93,59.0,30.0,26.0,,3.0,14,2.5,1.25,96,12,0.5,10,30,65,100,15,240,20,1,0,,
2026-03-18T13:04:57,USDJPY,train,1,RSI Mean Reversion,-6.676,https://www.quantconnect.com/project/28930245/303dfc42b4546ae2dd171aa1e81229ba,-0.703,1.8,266.0,-1.291,40.0,10000.0,9929.73,86.0,48.0,30.0,,8.0,10,1.5,1.5,20,12,0.15,7,25,65,50,15,60,30,0,0,,
2026-03-18T13:03:26,USDJPY,train,1,RSI Mean Reversion,-11.68,https://www.quantconnect.com/project/28930245/dfa648ae5bb42aec739bc26c5103479c,1.115,3.1,78.0,-0.565,50.0,10000.0,10111.47,26.0,13.0,13.0,,,10,1.5,1.5,96,8,0.35,10,20,70,100,5,240,20,0,0,,
2026-03-18T13:07:44,USDJPY,train,1,RSI Mean Reversion,-5.6690000000000005,https://www.quantconnect.com/project/28930245/8af54a28951cc18339cbfe3ac18e042b,-3.368,8.0,517.0,-0.767,43.0,10000.0,9663.19,161.0,76.0,51.0,15.0,19.0,10,3.0,1.25,48,12,0.35,10,25,70,200,5,240,20,0,1,,
2026-03-18T13:08:23,USDJPY,train,1,RSI Mean Reversion,-28.154999999999998,https://www.quantconnect.com/project/28930245/fd16c96406e477e69a5879b4a93c7d92,-0.738,0.7,6.0,-4.239,0.0,10000.0,9926.2,2.0,2.0,,,,10,1.5,1.5,96,12,0.35,10,20,80,200,5,60,20,0,0,,
2026-03-18T13:09:02,USDJPY,train,1,RSI Mean Reversion,-10.060999999999998,https://www.quantconnect.com/project/28930245/d582930f5e3419686facb9b2a3d7004a,0.832,2.4,114.0,-0.531,45.0,10000.0,10083.18,38.0,21.0,17.0,,,10,2.0,1.5,96,5,0.35,10,25,70,100,5,240,50,0,0,,
2026-03-18T13:09:30,USDJPY,train,1,RSI Mean Reversion,-13.931999999999999,https://www.quantconnect.com/project/28930245/905046eb60bd984a042aa602e1fac9c5,0.111,1.1,114.0,-1.581,42.0,10000.0,10011.05,38.0,22.0,16.0,,,10,1.5,1.5,48,12,0.15,7,25,70,50,5,60,30,0,0,,
2026-03-18T13:10:07,USDJPY,train,1,RSI Mean Reversion,-1.0269999999999997,https://www.quantconnect.com/project/28930245/e188a528fb22b80e8f4bd68f7834936a,2.087,6.4,251.0,-0.138,41.0,10000.0,10208.66,82.0,43.0,34.0,,5.0,10,2.5,1.5,96,12,0.5,10,25,65,100,5,240,50,1,0,,
2026-03-18T13:10:32,USDJPY,train,1,RSI Mean Reversion,-18.396,https://www.quantconnect.com/project/28930245/9ea2d2e726865e202718c95c1a0ed0a3,-2.298,4.1,67.0,-1.466,27.0,10000.0,9770.17,22.0,15.0,6.0,,1.0,10,1.5,1.5,20,12,0.35,10,25,70,100,15,60,30,0,0,,
2026-03-18T13:10:59,USDJPY,train,1,RSI Mean Reversion,-9.338999999999999,https://www.quantconnect.com/project/28930245/84f09fe7fcf51165f17c4d67c32cda84,0.846,3.6,130.0,-0.545,53.0,10000.0,10084.62,43.0,20.0,22.0,1.0,,10,1.5,1.25,60,8,0.35,10,30,70,100,5,240,20,0,1,,
