timestamp,pair,mode,family,family_name,score,url,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_bb_period,param_bb_std_dev,param_bb_rsi_long,param_bb_rsi_short,param_rsi_period,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,train_score,validation_score
2026-03-14T18:56:32,BTCUSDT,train,2,Bollinger Band Mean Reversion,-60.150000000000006,https://www.quantconnect.com/project/28937164/1e4b0314625a5c9f103c14dc42702f27,10,2.5,2.0,30,2,0.35,25,2.5,35,75,20,0.0,0.0,1453.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T18:59:13,BTCUSDT,train,2,Bollinger Band Mean Reversion,-60.150000000000006,https://www.quantconnect.com/project/28937164/cb89748de8a9d9016dbf705783c19bcf,10,3.0,2.0,20,1,0.25,25,2.5,35,75,20,0.0,0.0,1453.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:03:48,BTCUSDT,train,2,Bollinger Band Mean Reversion,-1000000000,,14,2.5,1.0,30,1,0.35,30,2.5,25,75,20,,,,,,,,,,,,,,
2026-03-14T19:04:22,BTCUSDT,train,2,Bollinger Band Mean Reversion,-26.55,https://www.quantconnect.com/project/28937164/bbb36bc625c07f9e46f2e829801c2a58,10,3.0,2.0,20,1,0.35,30,2.5,25,70,14,0.0,0.0,781.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:04:49,BTCUSDT,train,2,Bollinger Band Mean Reversion,-176.0,https://www.quantconnect.com/project/28937164/b1469f661a1d10ecb683bad5aa43bc15,10,2.5,1.5,96,2,0.25,20,1.5,35,75,20,0.0,0.0,3770.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:05:25,BTCUSDT,train,2,Bollinger Band Mean Reversion,-56.7,https://www.quantconnect.com/project/28937164/1fee5c7de21c543702011bfb09e81a44,20,2.5,1.5,72,10,0.25,20,1.5,25,75,14,0.0,0.0,1384.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:07:09,BTCUSDT,train,2,Bollinger Band Mean Reversion,-1000000000,,10,3.0,1.0,20,1,0.25,30,2.5,25,75,20,,,,,,,,,,,,,,
2026-03-14T19:08:12,BTCUSDT,train,2,Bollinger Band Mean Reversion,-9.75,https://www.quantconnect.com/project/28937164/bcaaea8634d2f517517f1938e6407f66,20,2.0,2.0,30,1,0.35,25,2.0,25,75,20,0.0,0.0,445.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:08:42,BTCUSDT,train,2,Bollinger Band Mean Reversion,-60.150000000000006,https://www.quantconnect.com/project/28937164/4ddcd58d190efd97c7ea5c87392291c7,10,3.0,2.0,30,2,0.35,25,2.5,35,75,20,0.0,0.0,1453.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:10:47,BTCUSDT,train,2,Bollinger Band Mean Reversion,-69.10000000000001,https://www.quantconnect.com/project/28937164/d62c40b0b122264a2c2776cca0526cb8,14,2.5,2.0,20,2,0.25,20,1.5,30,75,20,0.0,0.0,1632.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:12:53,BTCUSDT,train,2,Bollinger Band Mean Reversion,-105.7,https://www.quantconnect.com/project/28937164/1ce8cdb79a7a12642894e08bf1df6f07,20,1.5,2.5,96,1,0.35,25,2.0,30,65,14,0.0,0.0,2364.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:13:38,BTCUSDT,train,2,Bollinger Band Mean Reversion,-26.55,https://www.quantconnect.com/project/28937164/915058a2682d3932ae260fc5f143ac8a,20,3.0,1.0,96,6,0.5,30,2.5,25,75,14,0.0,0.0,781.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:08:12,BTCUSDT,train,2,Bollinger Band Mean Reversion,-9.75,https://www.quantconnect.com/project/28937164/bcaaea8634d2f517517f1938e6407f66,20,2.0,2.0,30,1,0.35,25,2.0,25,75,20,0.0,0.0,445.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T18:58:48,BTCUSDT,train,2,Bollinger Band Mean Reversion,-26.55,https://www.quantconnect.com/project/28937164/292e9681d399e3b75ec3802d6cc84e72,14,3.0,1.0,20,1,0.35,30,2.5,25,70,14,0.0,0.0,781.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:04:22,BTCUSDT,train,2,Bollinger Band Mean Reversion,-26.55,https://www.quantconnect.com/project/28937164/bbb36bc625c07f9e46f2e829801c2a58,10,3.0,2.0,20,1,0.35,30,2.5,25,70,14,0.0,0.0,781.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:13:38,BTCUSDT,train,2,Bollinger Band Mean Reversion,-26.55,https://www.quantconnect.com/project/28937164/915058a2682d3932ae260fc5f143ac8a,20,3.0,1.0,96,6,0.5,30,2.5,25,75,14,0.0,0.0,781.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T18:49:12,BTCUSDT,train,2,Bollinger Band Mean Reversion,-56.7,https://www.quantconnect.com/project/28937164/16507f2a51b931f88c9fcff1ce2839f7,14,2.5,1.0,72,2,0.35,20,1.5,25,75,14,0.0,0.0,1384.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:14:13,BTCUSDT,train,2,Bollinger Band Mean Reversion,-13.600000000000001,https://www.quantconnect.com/project/28937164/70024efd7835b776a388e83a0c7aa29d,20,3.0,2.0,72,2,0.35,20,2.5,25,75,14,0.0,0.0,522.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:14:38,BTCUSDT,train,2,Bollinger Band Mean Reversion,-26.55,https://www.quantconnect.com/project/28937164/473b6174f8c759c493a4878909ec542a,14,3.0,1.0,72,1,0.35,30,2.5,25,75,14,0.0,0.0,781.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:15:18,BTCUSDT,train,2,Bollinger Band Mean Reversion,-13.5,https://www.quantconnect.com/project/28937164/79352603c77a8b3aea9b2786516a93a8,10,2.0,2.0,20,1,0.35,30,2.0,25,75,20,0.0,0.0,520.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:15:43,BTCUSDT,train,2,Bollinger Band Mean Reversion,-7.3500000000000005,https://www.quantconnect.com/project/28937164/40cde7e59ca59cd1c6ee44467c1b7afb,10,2.5,1.0,72,2,0.35,15,2.5,25,70,14,0.0,0.0,397.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:17:48,BTCUSDT,train,2,Bollinger Band Mean Reversion,-42.7,https://www.quantconnect.com/project/28937164/2e6b4a32783a1a7a336565308c0d1dd6,14,3.0,1.0,20,1,0.35,25,2.0,25,65,14,0.0,0.0,1104.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:19:33,BTCUSDT,train,2,Bollinger Band Mean Reversion,-1000000000,,14,3.0,2.0,20,1,0.35,30,2.5,25,70,14,,,,,,,,,,,,,,
2026-03-14T19:21:17,BTCUSDT,train,2,Bollinger Band Mean Reversion,-1000000000,,10,3.0,1.0,96,6,0.5,30,2.5,25,75,14,,,,,,,,,,,,,,
2026-03-14T19:22:26,BTCUSDT,train,2,Bollinger Band Mean Reversion,-13.600000000000001,https://www.quantconnect.com/project/28937164/292f277299126c7a7a04fb09986a8e20,14,2.5,1.0,72,2,0.35,20,2.5,25,75,14,0.0,0.0,522.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:22:54,BTCUSDT,train,2,Bollinger Band Mean Reversion,-143.70000000000002,https://www.quantconnect.com/project/28937164/a59480d2e4eeec0f4875d63603e4f316,14,1.5,2.0,96,1,0.15,20,1.5,30,70,14,0.0,0.0,3124.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:23:22,BTCUSDT,train,2,Bollinger Band Mean Reversion,-42.5,https://www.quantconnect.com/project/28937164/5496842c53e9511de341b815f044ec0e,14,1.0,2.5,48,1,0.15,25,2.0,25,70,14,0.0,0.0,1100.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:15:43,BTCUSDT,train,2,Bollinger Band Mean Reversion,-7.3500000000000005,https://www.quantconnect.com/project/28937164/40cde7e59ca59cd1c6ee44467c1b7afb,10,2.5,1.0,72,2,0.35,15,2.5,25,70,14,0.0,0.0,397.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
2026-03-14T19:08:12,BTCUSDT,train,2,Bollinger Band Mean Reversion,-9.75,https://www.quantconnect.com/project/28937164/bcaaea8634d2f517517f1938e6407f66,20,2.0,2.0,30,1,0.35,25,2.0,25,75,20,0.0,0.0,445.0,0.0,0.0,10000.0,10000.0,0.0,,,,,,
