timestamp,pair,mode,family,family_name,score,url,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_wr_period,param_wr_oversold,param_wr_overbought,param_wr_rsi_long,param_wr_rsi_short,param_rsi_period,train_score,validation_score
2026-03-14T09:02:19,QQQ,train,5,Williams %R + RSI,-9.05,https://www.quantconnect.com/project/28936477/3bf492ca6f05640de89322a5647337d2,-7.181,10.0,971.0,-0.623,28.0,10000.0,9281.93,229.0,161.0,62.0,6.0,,14,1.0,2.5,96,4,0.35,10,-80,-10,25,75,20,,
2026-03-14T09:03:17,QQQ,train,5,Williams %R + RSI,-18.146,https://www.quantconnect.com/project/28936477/64d47212eaa269646e50cc1e55b8f0d3,-0.133,13.9,2875.0,-0.121,34.0,10000.0,9986.67,603.0,387.0,147.0,10.0,60.0,20,1.0,2.5,20,6,0.35,10,-90,-15,30,75,14,,
2026-03-14T09:04:22,QQQ,train,5,Williams %R + RSI,-23.304000000000002,https://www.quantconnect.com/project/28936477/1f42e524b515d491b543ae439b2772b3,-11.411,16.6,1870.0,-0.881,39.0,10000.0,8858.89,387.0,236.0,149.0,2.0,,20,1.0,1.5,96,10,0.35,5,-75,-15,25,75,14,,
2026-03-14T09:00:34,QQQ,train,5,Williams %R + RSI,-23.56,https://www.quantconnect.com/project/28936477/d48995519a77aebc15e4a2a610899be6,-14.44,17.6,911.0,-1.19,33.0,10000.0,8556.01,283.0,163.0,63.0,57.0,,20,2.5,2.0,96,2,0.35,5,-85,-25,25,75,20,,
2026-03-14T09:01:21,QQQ,train,5,Williams %R + RSI,-42.857,https://www.quantconnect.com/project/28936477/44891eb35b8bf3cbf6eb37701e00b103,-9.635,19.5,7739.0,-0.424,50.0,10000.0,9036.48,754.0,375.0,378.0,3.0,,10,1.0,1.0,48,2,0.5,14,-80,-25,25,65,14,,
2026-03-14T09:06:26,QQQ,train,5,Williams %R + RSI,-29.769,https://www.quantconnect.com/project/28936477/3ede0919871e4f987e56f870d64f2e55,-13.126,19.9,1228.0,-1.031,37.0,10000.0,8687.41,374.0,198.0,76.0,100.0,,20,2.5,2.0,96,6,0.35,5,-90,-15,30,75,20,,
2026-03-14T09:06:49,QQQ,train,5,Williams %R + RSI,1.1629999999999998,https://www.quantconnect.com/project/28936477/c4bf7702fdda530fa20e5155afeec60a,1.553,8.3,821.0,-0.13,31.0,10000.0,10155.31,188.0,127.0,57.0,4.0,,20,1.0,2.5,96,4,0.35,5,-85,-10,25,75,20,,
2026-03-14T09:07:15,QQQ,train,5,Williams %R + RSI,-31.426,https://www.quantconnect.com/project/28936477/f13f1688e1176e4fd6b9ce48c9af97ae,-15.449,19.4,1546.0,-0.959,29.0,10000.0,8455.15,380.0,263.0,89.0,,28.0,14,1.0,2.5,20,6,0.35,10,-80,-10,30,75,20,,
2026-03-14T09:07:55,QQQ,train,5,Williams %R + RSI,-4.809,https://www.quantconnect.com/project/28936477/033d35be9608329b5d1f2bd9a63dd8d7,-3.606,9.6,1117.0,-0.401,29.0,10000.0,9639.38,234.0,164.0,67.0,3.0,,20,1.0,2.5,96,4,0.35,10,-75,-15,25,75,20,,
2026-03-14T09:08:17,QQQ,train,5,Williams %R + RSI,-37.858,https://www.quantconnect.com/project/28936477/f21d2551071f712d9b2e861f8698c9e4,-15.854,20.9,1906.0,-0.818,28.0,10000.0,8414.6,464.0,335.0,125.0,4.0,,20,1.0,2.5,96,2,0.35,10,-85,-15,30,75,20,,
2026-03-14T09:08:51,QQQ,train,5,Williams %R + RSI,-55.899,https://www.quantconnect.com/project/28936477/b2dd83d1f6e2c752eb6d0565e90fc90a,-20.964,23.8,2840.0,-1.345,48.0,10000.0,7903.58,604.0,316.0,288.0,1.0,,20,1.0,1.0,96,2,0.35,14,-80,-25,25,75,14,,
2026-03-14T09:09:27,QQQ,train,5,Williams %R + RSI,-33.995000000000005,https://www.quantconnect.com/project/28936477/39b431baf7f8fe8525d910840eb69831,-17.008,20.1,1666.0,-1.029,28.0,10000.0,8299.23,375.0,263.0,89.0,,23.0,20,1.0,2.5,20,6,0.35,10,-80,-15,30,75,20,,
2026-03-14T09:09:51,QQQ,train,5,Williams %R + RSI,-137.425,https://www.quantconnect.com/project/28936477/779b6f171e9f5b60309019f8a332f2fa,-46.525,47.0,5270.0,-1.7,26.0,10000.0,5347.49,1006.0,730.0,250.0,26.0,,14,1.0,2.5,96,2,0.35,14,-75,-10,25,65,14,,
2026-03-14T09:10:15,QQQ,train,5,Williams %R + RSI,-50.551,https://www.quantconnect.com/project/28936477/9429ab2c89ad1afb0dfed30b1c026832,-16.628,17.2,2194.0,-3.241,43.0,10000.0,8337.24,668.0,244.0,234.0,173.0,17.0,20,3.0,1.0,72,8,0.15,10,-90,-15,30,75,14,,
