timestamp,pair,mode,family,family_name,score,url,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_bb_period,param_bb_std_dev,param_bb_rsi_long,param_bb_rsi_short,param_rsi_period,param_bar_minutes,param_htf_minutes,param_htf_ema_period,param_vol_filter_enabled,param_use_force_flat,train_score,validation_score
2026-03-18T13:47:59,USDJPY,train,2,Bollinger Band Bounce,-18.921999999999997,https://www.quantconnect.com/project/28930245/7640deb2aa73fd136d72dc9a67b9dcda,-10.795,18.4,702.0,-1.009,35.0,10000.0,8920.46,234.0,153.0,81.0,,,20,1.5,1.5,60,12,0.35,25,1.5,35,75,14,15,60,30,0,0,,
2026-03-18T13:40:46,USDJPY,train,2,Bollinger Band Bounce,-5.436,https://www.quantconnect.com/project/28930245/7b23142bc87e3691c6661ceb05f10dac,-2.502,5.0,364.0,-0.978,39.0,10000.0,9749.77,117.0,68.0,36.0,,13.0,20,2.5,1.5,48,3,0.25,15,2.5,35,70,7,30,240,20,1,0,,
2026-03-18T13:46:10,USDJPY,train,2,Bollinger Band Bounce,-8.23,https://www.quantconnect.com/project/28930245/02f156a0eb59a2a463b2a59474a851ba,-3.199,3.4,362.0,-1.677,45.0,10000.0,9680.1,105.0,35.0,23.0,47.0,,10,3.0,1.0,30,12,0.25,30,2.0,30,65,14,30,60,50,0,1,,
2026-03-18T13:47:08,USDJPY,train,2,Bollinger Band Bounce,-12.618000000000002,https://www.quantconnect.com/project/28930245/6242a95ffa53615d057a43d054cdd0ad,-9.069,12.0,715.0,-1.183,33.0,10000.0,9093.1,232.0,152.0,61.0,,19.0,10,1.5,2.0,30,8,0.25,25,2.5,25,75,10,5,60,30,0,0,,
2026-03-18T13:42:56,USDJPY,train,2,Bollinger Band Bounce,-13.504,https://www.quantconnect.com/project/28930245/a7ceadbd49cf541ce03695fb4b34983e,-8.395,10.0,429.0,-1.703,36.0,10000.0,9160.55,143.0,91.0,52.0,,,10,1.5,1.25,96,12,0.25,20,2.5,30,65,14,5,240,20,1,1,,
2026-03-18T13:45:30,USDJPY,train,2,Bollinger Band Bounce,-14.038,https://www.quantconnect.com/project/28930245/d409f303c8555180cf99a86f4cec0fd4,-0.742,2.8,105.0,-1.182,37.0,10000.0,9925.79,35.0,22.0,13.0,,,20,1.5,1.5,20,5,0.25,20,2.0,25,75,14,15,60,50,1,0,,
2026-03-18T13:48:43,USDJPY,train,2,Bollinger Band Bounce,-1.7830000000000001,https://www.quantconnect.com/project/28930245/b1ef5c77dccc2aacbc21e9f20637da9d,-0.28,4.6,394.0,-0.501,38.0,10000.0,9972.04,128.0,77.0,41.0,,10.0,20,1.5,2.0,30,5,0.25,25,2.0,25,75,10,5,60,30,1,0,,
2026-03-18T13:49:11,USDJPY,train,2,Bollinger Band Bounce,-72.90899999999999,https://www.quantconnect.com/project/28930245/9c4dc276f0df747b4495e765271a4f6d,-28.291,28.7,1906.0,-1.956,34.0,10000.0,7170.92,614.0,388.0,162.0,,64.0,10,2.5,1.5,48,8,0.25,15,2.5,35,75,7,5,240,30,0,0,,
2026-03-18T13:49:48,USDJPY,train,2,Bollinger Band Bounce,-11.054,https://www.quantconnect.com/project/28930245/c5b670f18bd7a183cf239bceedc25ad1,-5.183,5.4,475.0,-1.957,41.0,10000.0,9481.72,135.0,43.0,22.0,70.0,,10,3.0,1.0,30,12,0.25,20,2.5,30,65,14,30,240,20,0,1,,
2026-03-18T13:50:16,USDJPY,train,2,Bollinger Band Bounce,-7.568,https://www.quantconnect.com/project/28930245/20dc8d69eb5fec22f1cd4bb1fcf9e31d,-3.89,6.6,401.0,-1.226,44.0,10000.0,9611.01,133.0,74.0,57.0,,2.0,20,1.5,1.0,20,5,0.25,20,2.0,30,75,14,15,60,50,0,0,,
